text,ipa
"Zwölf zünftige Zipfelmützenzwerge die auf zwölf Tannenzapfen saßen, aßen zweihundertzweiundzwanzig blaue Zwetschken. Als sie die zweihundertzweiundzwanzig Zwetschken gegessen hatten, sagte Zwerg Zwuckel zu Zwerg Zwockel ""mich zwickts im Bauch"" darauf antwortete Zwerg Zwockel zu Zwerg Zuckel ""mich auch"".","t͡svœlf t͡sʏnftiːɡɛː t͡sɪp͡fɛlmyːt͡sɛːnt͡svɛːrɡɛː diː aʊ̯f t͡svœlf tanɛːnt͡sap͡fɛːn zaːsɛːn, aːsɛːn t͡svaɪ̯ʊndɛːrt͡svaɪ̯ʊndt͡svaːnt͡siːɡ blaʊ̯ɛː t͡svɛtʃkɛːn. als ziː diː t͡svaɪ̯ʊndɛːrt͡svaɪ̯ʊndt͡svaːnt͡siːɡ t͡svɛtʃkɛːn ɡɛːɡɛzɛːn hatɛːn, zaɡtɛː t͡svɛːrɡ t͡svuːkɛːl t͡suː t͡svɛːrɡ t͡svoːkɛːl ""mɪç t͡svɪkts iːm baʊ̯x"" daːraʊ̯f antvoːrtɛːtɛː t͡svɛːrɡ t͡svoːkɛːl t͡suː t͡svɛːrɡ t͡suːkɛːl ""mɪç aʊ̯x""."
"Chinesisches Schüsselchen, chinesisches Schüsselchen, chinesisches Schüsselchen,","xiːnɛːzɪʃɛːs ʃʏzɛlxɛːn, xiːnɛːzɪʃɛːs ʃʏzɛlxɛːn, xiːnɛːzɪʃɛːs ʃʏzɛlxɛːn,"
"Eine Diplombibliothekarin ist Bibliothekarin mit Diplom, eine Bibliothekarin mit Diplom ist eine Diplombibliothekarin.","aɪ̯nɛː dɪplɔmbɪbliːoːtɛːkaːriːn ɪst bɪbliːoːtɛːkaːriːn miːt dɪploːm, aɪ̯nɛː bɪbliːoːtɛːkaːriːn miːt dɪploːm ɪst aɪ̯nɛː dɪplɔmbɪbliːoːtɛːkaːriːn."
"Bierbrauer Bauer braut braunes Bier, braunes Bier braut Bierbrauer Bauer.","biːrbraʊ̯ɛːr baʊ̯ɛːr braʊ̯t braʊ̯nɛːs biːr, braʊ̯nɛːs biːr braʊ̯t biːrbraʊ̯ɛːr baʊ̯ɛːr."
"Der Dachdecker deckt dein Dach, drum dank dem Dachdecker, der dein Dach deckt.","dɛːr daxdɛːkɛːr dɛkt daɪ̯n dax, druːm daŋk dɛːm daxdɛːkɛːr, dɛːr daɪ̯n dax dɛkt."
"Der Stadtrat von Radstadt steigt dem Postfräulein auf d' Frostbeulen, d'rauf haut's ihm die Postmappen in die Mostpappen.","dɛːr staːtraːt foːn radstaːt staɪ̯ɡt dɛːm pɔstfrɔɪ̯laɪ̯n aʊ̯f d' frɔstbɔɪ̯lɛːn, d'raʊ̯f haʊ̯t's iːm diː pɔstmapɛːn iːn diː mɔstpapɛːn."
"Es soll vorkommen, daß die Nachkommen mit dem Einkommen nicht mehr auskommen und dann vollkommen verkommen umkommen.","ɛːs zɔl foːrkɔmɛːn, daːs diː naxkɔmɛːn miːt dɛːm aɪ̯ŋkɔmɛːn nɪçt meːr aʊ̯skɔmɛːn ʊnd dan fɔlkɔmɛːn fɛːrkɔmɛːn ʊmkɔmɛːn."
"Die Power-Frauen mit der Frauen-Power, die Power-Frauen mit der Frauen-Power, die Power-Frauen mit der Frauen-Power...","diː poːɛːr-fraʊ̯ɛːn miːt dɛːr fraʊ̯ɛːn-poːɛːr, diː poːɛːr-fraʊ̯ɛːn miːt dɛːr fraʊ̯ɛːn-poːɛːr, diː poːɛːr-fraʊ̯ɛːn miːt dɛːr fraʊ̯ɛːn-poːɛːr..."
Haifischschwanzflossenfleischsuppe,haɪ̯fɪʃʃvaːnt͡sflɔzɛnflaɪ̯ʃzʊpə
Drei dicke dumme Damen donnern durch das dicke doofe Dorf.,draɪ̯ diːkɛː dʊmɛː daːmɛːn dɔnɛːrn duːrx daːs diːkɛː doːfɛː doːrf.
Der Maurer Böckl trug auf seinem Buckl einen Pickel und ein Packl. Hinterdrein ging der Bummler Bäckl mit seinem Hund Bockl. Auf einmal packte dem Bäckl sein Bockl dem Böckl das Packl und riss es im samt dem Pickel vom Buckl.,dɛːr maʊ̯rɛːr bœkl truːɡ aʊ̯f zaɪ̯nɛːm bʊkl aɪ̯nɛːn piːkɛːl ʊnd aɪ̯n pakl. hɪntɛːrdraɪ̯n ɡɪŋ dɛːr bʊmlɛːr bɛkl miːt zaɪ̯nɛːm hʊnd bɔkl. aʊ̯f aɪ̯nmaːl paktɛː dɛːm bɛkl zaɪ̯n bɔkl dɛːm bœkl daːs pakl ʊnd rɪs ɛːs iːm zamt dɛːm piːkɛːl foːm bʊkl.
"Die, die die, die die Didi-Hallervorden-Show großartig finden, verachten, sind Snobs. Di curante bis si filum.","diː, diː diː, diː diː diːdiː-halɛːrfoːrdɛːn-shoː ɡroːsaːrtiːɡ fɪndɛːn, fɛːraxtɛːn, zɪnd snɔbs. diː kuːrantɛː biːs ziː fiːluːm."
"Im Fischladen: Morgen!, Morgen!, Fisch?, Morgen!, Morgen?, Morgen!, Morgen!","iːm fɪʃlaːdɛːn: moːrɡɛːn!, moːrɡɛːn!, fɪʃ?, moːrɡɛːn!, moːrɡɛːn?, moːrɡɛːn!, moːrɡɛːn!"
"Fröhliche, friedliche Südfrüchte","frøːlɪçɛː, fridlɪçɛː zʏdfrʏçtə"
