text,ipa
"Knappe kappers kappen knap, maar de knecht van de knappe kapper kapt nog knapper dan de knappe kapper kappen kan.","knɑppɛ kɑppɛrs kɑppɛn knɑp, maːr dɛ knɛxt vɑn dɛ knɑppɛ kɑppɛr kɑpt nɔɣ knɑppɛr dɑn dɛ knɑppɛ kɑppɛr kɑppɛn kɑn."
Morgen! Morgen! Horloge klaar? Morgen! Morgen? Morgen! Morgen! Morgen!,mɔrɣɛn! mɔrɣɛn! hɔrloːɣɛ klaːr? mɔrɣɛn! mɔrɣɛn? mɔrɣɛn! mɔrɣɛn! mɔrɣɛn!
Vaders vader vond vier vuile vesten van vier vuile venten.,vaːdɛrs vaːdɛr vɔnd viːr vœɥɪlɛ vɛstɛn vɑn viːr vœɥɪlɛ vɛntɛn.
Mientje Mandemakers' mooiste meisje maakte mutsjes met moeders mooiste machientje.,miːntjɛ mɑndeːmaːkɛrs' moːjstɛ mɛjʃɛ maːktɛ mʏtʃɛs mɛt muːɛdɛrs moːjstɛ maːxiːntjɛ.
"Wie weet waar Willem Wouters woont? Willem Wouters woont wijd weg. Waar westerse wilden wonen, woont Willem Wouters.","ʋiː ʋeːt ʋaːr ʋɪjɛm ʋɑwʏtɛrs ʋoːnt? ʋɪjɛm ʋɑwʏtɛrs ʋoːnt ʋɛjd ʋɛɣ. ʋaːr ʋɛstɛrsɛ ʋɪldɛn ʋoːnɛn, ʋoːnt ʋɪjɛm ʋɑwʏtɛrs."
Öliet ieleu oeleu? Watte? Of ieleu oeleu öliet! Zoepn!,ɔ̈liːt iːɛløː uːɛløː? ʋɑttɛ? ɔf iːɛløː uːɛløː ɔ̈liːt! zuːpn!
"Wat een weer weer. Je waait haast van de weg weg. Je kunt beter in het magazijn zijn, met een doosje aardbeien bij je.","ʋɑt eːn ʋeːr ʋeːr. jɛ ʋaːjt haːst vɑn dɛ ʋɛɣ ʋɛɣ. jɛ kʏnt beːtɛr ɪn hɛt maːɣɑzɛjn zɛjn, mɛt eːn doːʃɛ aːrtbɛjɛn bɛj jɛ."
Drie dikke drilboren drillen door drie dikke deuren.,triː dɪkkɛ trɪlboːrɛn trɪjɛn doːr triː dɪkkɛ døːʏrɛn.
"Boterklontje, boterklontje, boterklontje, ...","boːtɛrklɔntjɛ, boːtɛrklɔntjɛ, boːtɛrklɔntjɛ, ..."
De vliegende vieze vis vliegt de vogel achterna.,dɛ vliːɛɣɛndɛ viːɛzɛ vɪs vliːxt dɛ voːɣɛl ɑxtɛrnɑ.
"Klappertandend kwam Kees Koukleum kolen kopen. Kijk kijk, kakelde kolenkoopman Kuipers. Kees klappertandt! Koud, Kees? Kerel, klaagde Kees. Krakende knieën, klapperende kiezen, compleet knikkende kuiten. Curieuze kou, knikte Kuipers. Koop kolen, knul! Kolen kunnen kou klein krijgen!","klɑppɛrtɑndɛnd kʋɑm keːs kɑwkløːm koːlɛn koːpɛn. kɛjk kɛjk, kaːkɛldɛ koːlɛnkoːpmɑn kœɥɪpɛrs. keːs klɑppɛrtɑntt! kɑwd, keːs? keːrɛl, klaːxdɛ keːs. kraːkɛndɛ kniːɛ̈n, klɑppeːrɛndɛ kiːɛzɛn, cɔmpleːt knɪkkɛndɛ kœɥɪtɛn. cyːriːyːzɛ kɑw, knɪktɛ kœɥɪpɛrs. koːp koːlɛn, knʏl! koːlɛn kʏnnɛn kɑw klɛjn krɛjɣɛn!"
Roverovervallen vallen overal voor. Het valt voor dat bij een roveroverval een rover voorover over een roverval valt. Maar een rover heeft het er wel voor over om bij een roveroverval voorover over een roverval te vallen. Want voor een rover schiet er bij een roveroverval altijd wel wat over!,roːveːroːvɛrvɑjɛn vɑjɛn oːveːrɑl voːr. hɛt vɑlt voːr dɑt bɛj eːn roːveːroːvɛrvɑl eːn roːvɛr voːɔrɔvɛr oːvɛr eːn roːvɛrvɑl vɑlt. maːr eːn roːvɛr heːft hɛt ɛr ʋɛl voːr oːvɛr ɔm bɛj eːn roːveːroːvɛrvɑl voːɔrɔvɛr oːvɛr eːn roːvɛrvɑl tɛ vɑjɛn. ʋɑnt voːr eːn roːvɛr sxiːt ɛr bɛj eːn roːveːroːvɛrvɑl ɑltɛjd ʋɛl ʋɑt oːvɛr!
Toen zagen zagen zagen zagen zagen zagen zagen zagen zagen zagen.,tuːn zaːɣɛn zaːɣɛn zaːɣɛn zaːɣɛn zaːɣɛn zaːɣɛn zaːɣɛn zaːɣɛn zaːɣɛn zaːɣɛn.
Wat een weer weer zei de wasvrouw die aan de was was.,ʋɑt eːn ʋeːr ʋeːr zɛj dɛ ʋɑsvrɑw diː aːn dɛ ʋɑs ʋɑs.
Azijnzuurhoutenankerkettingsluitingslothoutje,aːzɛjnzyːrhɑwʏteːnɑnkɛrkɛttɪnxslœɥɪtɪnxsloːtɑwtjeː
